EDGE	CONSISTENCY
11600~21687	0.7
22341~14254	0.6
18590~21687	0.6
11601~14254	0.5
15251~14254	0.5
21687~20416	0.5
22340~14254	0.5
22339~14254	0.5
11600~16542	0.2
16410~72469	0.2
16542~14388	0.2
22341~14182	0.1
18590~16542	0.1
15251~22341	0.1
16542~14083	0.1
16542~20416	0.1
16542~18706	0.1
26416~19883	0.1
18750~26416	0.1
18750~14083	0.1
18750~101540	0.1
14388~18706	0.1
16476~18590	0.1
14083~26416	0.1
14674~30955	0.1
13642~13846	0.1
11601~16542	-0.1
26416~19014	-0.1
26416~16173	-0.1
18750~19229	-0.1
16476~22341	-0.1
14083~19229	-0.1
20349~18186	-0.1
26409~26416	-0.1
30878~21812	-0.1
12826~14083	-0.1
11600~14182	-0.2
22341~16542	-0.2
15251~11600	-0.2
14254~14083	-0.5
14254~20416	-0.5
14254~18706	-0.5
11601~21687	-0.5
15251~21687	-0.5
22340~21687	-0.5
22339~21687	-0.5
22341~21687	-0.6
18590~14254	-0.6
11600~14254	-0.7
