ENTREZID	SYMBOL	GENENAME	FC	ADJ.PVAL
10630	PDPN	podoplanin	1.88	1.8e-82
6387	CXCL12	C-X-C motif chemokine ligand 12	-1.92	2.4e-70
1277	COL1A1	collagen type I alpha 1 chain	-1.32	6.4e-49
25777	SUN2	Sad1 and UNC84 domain containing 2	1.85	1.4e-48
8660	IRS2	insulin receptor substrate 2	2.11	1.3e-37
91663	MYADM	myeloid associated differentiation marker	1.49	1.1e-20
5295	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1	1.53	1.6e-20
9475	ROCK2	Rho associated coiled-coil containing protein kinase 2	0.8	3.1e-20
4739	NEDD9	neural precursor cell expressed, developmentally down-regulated 9	1.61	1.1e-19
8503	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3	-1.71	1.7e-19
1901	S1PR1	sphingosine-1-phosphate receptor 1	-1.5	1e-17
10371	SEMA3A	semaphorin 3A	-1.22	1.3e-17
55604	CARMIL1	capping protein regulator and myosin 1 linker 1	1.14	2.7e-13
3912	LAMB1	laminin subunit beta 1	0.75	1.1e-12
6774	STAT3	signal transducer and activator of transcription 3	0.61	4.6e-12
6608	SMO	smoothened, frizzled class receptor	-1.03	7.7e-12
3082	HGF	hepatocyte growth factor	-0.99	1.5e-11
56034	PDGFC	platelet derived growth factor C	-0.75	4.8e-11
7869	SEMA3B	semaphorin 3B	-0.74	7.7e-11
7422	VEGFA	vascular endothelial growth factor A	-1.27	1.5e-10
22800	RRAS2	RAS related 2	0.62	2.4e-10
7057	THBS1	thrombospondin 1	1.88	1.5e-09
80031	SEMA6D	semaphorin 6D	-1.38	2.7e-09
7130	TNFAIP6	TNF alpha induced protein 6	-2.58	9.4e-08
5293	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	0.78	1.8e-07
81	ACTN4	actinin alpha 4	0.77	1.9e-07
3491	CCN1	cellular communication network factor 1	1.73	2e-07
4192	MDK	midkine	-0.5	2.1e-07
4851	NOTCH1	notch receptor 1	-0.8	2.7e-07
117581	TWIST2	twist family bHLH transcription factor 2	0.7	7.2e-07
2185	PTK2B	protein tyrosine kinase 2 beta	0.98	1.2e-06
3480	IGF1R	insulin like growth factor 1 receptor	0.55	1.6e-06
4088	SMAD3	SMAD family member 3	-0.39	4.6e-06
10457	GPNMB	glycoprotein nmb	-0.41	1.1e-05
5156	PDGFRA	platelet derived growth factor receptor alpha	0.55	1.2e-05
8895	CPNE3	copine 3	0.41	1.4e-05
3717	JAK2	Janus kinase 2	0.77	2e-05
1613	DAPK3	death associated protein kinase 3	0.42	4.8e-05
4641	MYO1C	myosin IC	0.51	5.1e-05
857	CAV1	caveolin 1	0.64	9.7e-05
10500	SEMA6C	semaphorin 6C	0.81	9.9e-05
58191	CXCL16	C-X-C motif chemokine ligand 16	-0.81	1e-04
2159	F10	coagulation factor X	0.73	0.00016
10253	SPRY2	sprouty RTK signaling antagonist 2	0.62	0.00017
3688	ITGB1	integrin subunit beta 1	0.31	0.00031
2152	F3	coagulation factor III, tissue factor	0.52	0.00034
5328	PLAU	plasminogen activator, urokinase	-0.51	0.00036
2246	FGF1	fibroblast growth factor 1	1	0.00065
9647	PPM1F	protein phosphatase, Mg2+/Mn2+ dependent 1F	-0.36	0.001
3918	LAMC2	laminin subunit gamma 2	0.89	0.0012
5159	PDGFRB	platelet derived growth factor receptor beta	0.36	0.0013
80781	COL18A1	collagen type XVIII alpha 1 chain	0.36	0.0013
57580	PREX1	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1	-0.62	0.0014
9037	SEMA5A	semaphorin 5A	-0.39	0.0015
2852	GPER1	G protein-coupled estrogen receptor 1	-0.72	0.0017
6868	ADAM17	ADAM metallopeptidase domain 17	0.47	0.0019
1435	CSF1	colony stimulating factor 1	0.38	0.003
29126	CD274	CD274 molecule	-0.79	0.0031
6648	SOD2	superoxide dismutase 2	0.58	0.0037
3643	INSR	insulin receptor	0.52	0.0038
223117	SEMA3D	semaphorin 3D	-0.58	0.0039
11235	PDCD10	programmed cell death 10	0.4	0.004
3655	ITGA6	integrin subunit alpha 6	0.52	0.0078
54910	SEMA4C	semaphorin 4C	0.43	0.0081
64115	VSIR	V-set immunoregulatory receptor	0.34	0.0085
22902	RUFY3	RUN and FYVE domain containing 3	-0.32	0.0086
2651	GCNT2	glucosaminyl (N-acetyl) transferase 2 (I blood group)	1.1	0.011
57214	CEMIP	cell migration inducing hyaluronidase 1	0.96	0.011
7205	TRIP6	thyroid hormone receptor interactor 6	-0.35	0.011
4162	MCAM	melanoma cell adhesion molecule	0.88	0.014
3479	IGF1	insulin like growth factor 1	-0.49	0.016
3265	HRAS	HRas proto-oncogene, GTPase	0.36	0.018
1729	DIAPH1	diaphanous related formin 1	0.28	0.022
286527	TMSB15B	thymosin beta 15B	-0.53	0.024
22919	MAPRE1	microtubule associated protein RP/EB family member 1	0.25	0.025
1956	EGFR	epidermal growth factor receptor	-0.22	0.029
6356	CCL11	C-C motif chemokine ligand 11	-1.53	0.03
2896	GRN	granulin precursor	-0.2	0.03
8877	SPHK1	sphingosine kinase 1	0.72	0.037
