EDGE	CONSISTENCY
10092~60	0.9
10092~71	0.9
7414~60	0.9
7414~71	0.9
4233~5295	0.9
8936~10092	0.9
8936~60	0.9
4233~5293	0.8
4233~53358	0.8
4233~5290	0.8
8936~71	0.8
10093~60	0.8
10093~71	0.8
2549~8503	0.8
79658~60	0.8
79658~71	0.8
5295~5879	0.8
5295~6714	0.8
5879~5293	0.8
5879~60	0.8
867~5295	0.8
867~5293	0.8
3688~5295	0.8
3688~5293	0.8
1398~5295	0.8
1398~5293	0.8
8976~10092	0.8
8976~60	0.8
10094~60	0.8
10163~10092	0.8
10163~60	0.8
8936~10093	0.7
8976~71	0.7
6714~399694	-0.7
2549~5295	-0.8
2549~5293	-0.8
5879~8503	-0.8
8503~6714	-0.8
867~8503	-0.8
3688~8503	-0.8
1398~8503	-0.8
5829~60	-0.8
4233~8503	-0.9
4233~399694	-0.9
