EDGE	CONSISTENCY
8660~5295	1
8660~5293	0.9
8660~5290	0.9
3667~5295	0.9
3667~5293	0.9
5295~2475	0.9
2255~2264	0.9
2246~4233	0.9
2246~5156	0.9
2246~3480	0.9
2246~3643	0.9
3082~2264	0.9
4233~5295	0.9
5156~5295	0.9
3480~8660	0.9
3480~5295	0.9
3643~8660	0.9
3643~5295	0.9
5293~2475	0.9
8660~5291	0.8
3667~5290	0.8
5295~5879	0.8
2246~5159	0.8
4233~3667	0.8
4233~5293	0.8
5156~5293	0.8
3480~5293	0.8
3643~5293	0.8
5159~5295	0.8
3688~5295	0.8
7057~3688	0.8
2475~3667	-0.8
2255~5159	-0.8
2264~3667	-0.8
3082~5159	-0.8
2549~5295	-0.8
2475~8660	-0.9
2255~4233	-0.9
2255~5156	-0.9
2255~3480	-0.9
2255~3643	-0.9
2264~5295	-0.9
2264~5293	-0.9
2246~2264	-0.9
3082~4233	-0.9
3082~5156	-0.9
3082~3480	-0.9
3082~3643	-0.9
5781~5295	-0.9
