EDGE	CONSISTENCY
5295~5894	0.9
5894~5293	0.9
2246~4233	0.9
2246~5156	0.9
2246~3480	0.9
4233~5295	0.9
5156~5295	0.9
3480~5295	0.9
7157~1026	0.9
5295~3265	0.8
5295~10000	0.8
5295~4893	0.8
5894~5290	0.8
2246~5159	0.8
4233~5293	0.8
5156~5293	0.8
3480~5293	0.8
5159~5295	0.8
10000~1026	0.8
5595~1026	0.8
8503~3265	-0.8
8503~10000	-0.8
8503~4893	-0.8
2255~5159	-0.8
3082~5159	-0.8
5159~8503	-0.8
56034~4233	-0.8
56034~5156	-0.8
56034~3480	-0.8
1026~1021	-0.9
5894~8503	-0.9
2255~4233	-0.9
2255~5156	-0.9
2255~3480	-0.9
4233~8503	-0.9
3082~4233	-0.9
3082~5156	-0.9
3082~3480	-0.9
5156~8503	-0.9
3480~8503	-0.9
1026~1019	-1
