EDGE	CONSISTENCY
11600~21687	0.7
18590~21687	0.6
18591~14254	0.6
16000~21687	0.5
15234~21687	0.5
54635~21687	0.5
11600~16542	0.2
11600~16337	0.2
11606~14062	0.2
18590~16542	0.1
18590~16337	0.1
18591~18596	0.1
18591~16001	0.1
16000~16542	0.1
16000~16337	0.1
15234~16542	0.1
15234~16337	0.1
54635~16542	0.1
54635~16337	0.1
16542~14083	0.1
16542~16452	0.1
18413~18596	0.1
19699~14083	0.1
14083~14360	0.1
14083~107449	0.1
14191~14083	0.1
16452~14083	0.1
16000~18596	0
16000~16001	0
14061~14063	0
18590~18596	-0.1
18590~16001	-0.1
18591~16542	-0.1
18591~16337	-0.1
15170~16542	-0.1
15170~16452	-0.1
18413~16452	-0.1
16337~12402	-0.1
18596~14083	-0.1
16001~14083	-0.1
11600~18596	-0.2
11600~16001	-0.2
14061~14062	-0.2
14254~14083	-0.5
16000~14254	-0.5
15234~14254	-0.5
54635~14254	-0.5
18590~14254	-0.6
18591~21687	-0.6
11600~14254	-0.7
