ENTREZID	SYMBOL	GENENAME	FC	ADJ.PVAL
3908	LAMA2	laminin subunit alpha 2	2.02	4.1e-49
1277	COL1A1	collagen type I alpha 1 chain	-1.32	6.4e-49
22801	ITGA11	integrin subunit alpha 11	-1.73	2.4e-34
1282	COL4A1	collagen type IV alpha 1 chain	1.31	8.6e-25
1286	COL4A4	collagen type IV alpha 4 chain	1.9	4.8e-22
5295	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1	1.53	1.6e-20
9475	ROCK2	Rho associated coiled-coil containing protein kinase 2	0.8	3.1e-20
8503	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3	-1.71	1.7e-19
5894	RAF1	Raf-1 proto-oncogene, serine/threonine kinase	0.78	2.3e-16
1284	COL4A2	collagen type IV alpha 2 chain	0.88	2.6e-16
8515	ITGA10	integrin subunit alpha 10	3.81	5.7e-16
7414	VCL	vinculin	0.85	1.3e-14
3915	LAMC1	laminin subunit gamma 1	0.8	2.7e-13
5500	PPP1CB	protein phosphatase 1 catalytic subunit beta	1.02	6.1e-13
3912	LAMB1	laminin subunit beta 1	0.75	1.1e-12
896	CCND3	cyclin D3	0.92	1.3e-12
10627	MYL12A	myosin light chain 12A	0.83	5.4e-12
4660	PPP1R12B	protein phosphatase 1 regulatory subunit 12B	0.89	5.7e-12
3673	ITGA2	integrin subunit alpha 2	-1.03	6e-12
3082	HGF	hepatocyte growth factor	-0.99	1.5e-11
7791	ZYX	zyxin	0.69	3.4e-11
56034	PDGFC	platelet derived growth factor C	-0.75	4.8e-11
1287	COL4A5	collagen type IV alpha 5 chain	-0.88	8e-11
3725	JUN	Jun proto-oncogene, AP-1 transcription factor subunit	-1.22	1.1e-10
7422	VEGFA	vascular endothelial growth factor A	-1.27	1.5e-10
8516	ITGA8	integrin subunit alpha 8	1.17	2e-10
54776	PPP1R12C	protein phosphatase 1 regulatory subunit 12C	0.65	1.3e-09
7057	THBS1	thrombospondin 1	1.88	1.5e-09
6093	ROCK1	Rho associated coiled-coil containing protein kinase 1	0.56	2e-09
5881	RAC3	Rac family small GTPase 3	1.46	1.8e-08
5602	MAPK10	mitogen-activated protein kinase 10	-0.77	9.1e-08
103910	MYL12B	myosin light chain 12B	0.47	1.2e-07
53358	SHC3	SHC adaptor protein 3	0.68	1.6e-07
5293	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	0.78	1.8e-07
81	ACTN4	actinin alpha 4	0.77	1.9e-07
7094	TLN1	talin 1	0.55	6.4e-07
71	ACTG1	actin gamma 1	0.61	1.4e-06
3480	IGF1R	insulin like growth factor 1 receptor	0.55	1.6e-06
5063	PAK3	p21 (RAC1) activated kinase 3	-1.22	2e-06
3909	LAMA3	laminin subunit alpha 3	0.94	4.3e-06
3679	ITGA7	integrin subunit alpha 7	-0.49	6.4e-06
3371	TNC	tenascin C	-0.82	8.3e-06
5156	PDGFRA	platelet derived growth factor receptor alpha	0.55	1.2e-05
1278	COL1A2	collagen type I alpha 2 chain	-0.44	1.2e-05
5728	PTEN	phosphatase and tensin homolog	-0.41	1.2e-05
131873	COL6A6	collagen type VI alpha 6 chain	-0.82	1.6e-05
5290	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	0.57	1.8e-05
3672	ITGA1	integrin subunit alpha 1	0.61	2.4e-05
858	CAV2	caveolin 2	0.6	3.6e-05
7058	THBS2	thrombospondin 2	-0.54	4.2e-05
1293	COL6A3	collagen type VI alpha 3 chain	-0.35	6e-05
7148	TNXB	tenascin XB	-0.51	9.6e-05
857	CAV1	caveolin 1	0.64	9.7e-05
894	CCND2	cyclin D2	-0.59	0.00011
3914	LAMB3	laminin subunit beta 3	-0.75	0.00016
55742	PARVA	parvin alpha	0.39	0.00016
7424	VEGFC	vascular endothelial growth factor C	-0.44	0.00022
2316	FLNA	filamin A	0.57	0.00031
