EDGE	CONSISTENCY
5581~8660	1
8651~8660	1
4609~2744	1
5581~3667	0.9
8651~6774	0.9
8651~3667	0.9
1026~836	0.9
6774~4609	0.9
8660~5290	0.9
7057~3690	0.9
7157~1026	0.9
7422~1956	0.8
4233~3667	0.8
5156~3667	0.8
5290~5894	0.8
5290~836	0.8
3667~5290	0.8
4790~7422	0.8
4790~5743	0.8
1956~5743	0.8
5581~3265	-0.8
5581~4893	-0.8
2475~3667	-0.8
7422~5159	-0.8
399694~6655	-0.8
3371~3690	-0.8
5159~399694	-0.8
3551~8660	-0.8
5581~5894	-0.9
4609~1021	-0.9
4609~894	-0.9
1026~1021	-0.9
1026~898	-0.9
1026~894	-0.9
2475~8651	-0.9
2475~8660	-0.9
6774~1026	-0.9
6774~7422	-0.9
6774~5743	-0.9
6774~5292	-0.9
7422~4233	-0.9
7422~5156	-0.9
4233~399694	-0.9
7157~7057	-0.9
5156~399694	-0.9
4609~7422	-1
9252~4609	-1
5598~5743	-1
